timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1705823796.786384,11,12.236.105.56208010.0.0.21806,12.236.105.56,2080,10.0.0.21,80,6,-1,-1,8,29000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,12.63.73.138214210.0.0.21806,12.63.73.138,2142,10.0.0.21,80,6,-1,-1,8,398000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,12.66.144.25211210.0.0.21806,12.66.144.25,2112,10.0.0.21,80,6,-1,-1,8,481000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,122.236.107.31205810.0.0.21806,122.236.107.31,2058,10.0.0.21,80,6,-1,-1,8,72000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,122.34.135.3234410.0.0.21806,122.34.135.3,2344,10.0.0.21,80,6,-1,-1,8,619000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,123.17.244.228228810.0.0.21806,123.17.244.228,2288,10.0.0.21,80,6,-1,-1,8,81000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,123.230.214.30211610.0.0.21806,123.230.214.30,2116,10.0.0.21,80,6,-1,-1,8,481000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,123.37.194.160212910.0.0.21806,123.37.194.160,2129,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,126.126.76.213227010.0.0.21806,126.126.76.213,2270,10.0.0.21,80,6,-1,-1,8,111000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,126.160.107.166206310.0.0.21806,126.160.107.166,2063,10.0.0.21,80,6,-1,-1,8,72000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,131.133.73.107218010.0.0.21806,131.133.73.107,2180,10.0.0.21,80,6,-1,-1,8,332000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,132.55.188.54213410.0.0.21806,132.55.188.54,2134,10.0.0.21,80,6,-1,-1,8,425000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,133.158.133.167228010.0.0.21806,133.158.133.167,2280,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,133.184.173.153226610.0.0.21806,133.184.173.153,2266,10.0.0.21,80,6,-1,-1,8,138000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,133.243.133.170215010.0.0.21806,133.243.133.170,2150,10.0.0.21,80,6,-1,-1,8,398000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,133.32.66.139219010.0.0.21806,133.32.66.139,2190,10.0.0.21,80,6,-1,-1,8,287000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,133.60.213.166227510.0.0.21806,133.60.213.166,2275,10.0.0.21,80,6,-1,-1,8,111000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,135.142.72.183223710.0.0.21806,135.142.72.183,2237,10.0.0.21,80,6,-1,-1,8,216000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,135.181.100.188219110.0.0.21806,135.181.100.188,2191,10.0.0.21,80,6,-1,-1,8,287000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,135.228.72.217227310.0.0.21806,135.228.72.217,2273,10.0.0.21,80,6,-1,-1,8,111000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,135.64.135.54231010.0.0.21806,135.64.135.54,2310,10.0.0.21,80,6,-1,-1,8,493000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,136.98.131.136216010.0.0.21806,136.98.131.136,2160,10.0.0.21,80,6,-1,-1,8,378000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,137.105.209.222223410.0.0.21806,137.105.209.222,2234,10.0.0.21,80,6,-1,-1,8,216000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,137.123.230.217212610.0.0.21806,137.123.230.217,2126,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
