timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond
1705684951.765311,3,10.0.0.2890010.0.0.33322106,10.0.0.2,8900,10.0.0.33,32210,6,-1,-1,15,714000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33537286,10.0.0.2,8900,10.0.0.33,53728,6,-1,-1,15,649000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33300786,10.0.0.2,8900,10.0.0.33,30078,6,-1,-1,15,611000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3378626,10.0.0.2,8900,10.0.0.33,7862,6,-1,-1,15,559000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33379566,10.0.0.2,8900,10.0.0.33,37956,6,-1,-1,15,526000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33375286,10.0.0.2,8900,10.0.0.33,37528,6,-1,-1,15,485000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3368136,10.0.0.2,8900,10.0.0.33,6813,6,-1,-1,15,436000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33334286,10.0.0.2,8900,10.0.0.33,33428,6,-1,-1,15,396000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33551046,10.0.0.2,8900,10.0.0.33,55104,6,-1,-1,15,350000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33155966,10.0.0.2,8900,10.0.0.33,15596,6,-1,-1,15,310000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3335306,10.0.0.2,8900,10.0.0.33,3530,6,-1,-1,15,248000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33575136,10.0.0.2,8900,10.0.0.33,57513,6,-1,-1,15,208000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33541456,10.0.0.2,8900,10.0.0.33,54145,6,-1,-1,15,163000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3367056,10.0.0.2,8900,10.0.0.33,6705,6,-1,-1,15,120000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33351976,10.0.0.2,8900,10.0.0.33,35197,6,-1,-1,15,44000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33361766,10.0.0.2,8900,10.0.0.33,36176,6,-1,-1,14,997000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33195666,10.0.0.2,8900,10.0.0.33,19566,6,-1,-1,14,954000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33563436,10.0.0.2,8900,10.0.0.33,56343,6,-1,-1,14,908000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33327846,10.0.0.2,8900,10.0.0.33,32784,6,-1,-1,14,843000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33440776,10.0.0.2,8900,10.0.0.33,44077,6,-1,-1,14,788000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33348216,10.0.0.2,8900,10.0.0.33,34821,6,-1,-1,14,746000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33252456,10.0.0.2,8900,10.0.0.33,25245,6,-1,-1,14,688000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33285506,10.0.0.2,8900,10.0.0.33,28550,6,-1,-1,14,641000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33629506,10.0.0.2,8900,10.0.0.33,62950,6,-1,-1,14,593000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33266806,10.0.0.2,8900,10.0.0.33,26680,6,-1,-1,14,549000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33425036,10.0.0.2,8900,10.0.0.33,42503,6,-1,-1,14,495000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33465836,10.0.0.2,8900,10.0.0.33,46583,6,-1,-1,14,459000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33476086,10.0.0.2,8900,10.0.0.33,47608,6,-1,-1,14,413000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33372716,10.0.0.2,8900,10.0.0.33,37271,6,-1,-1,14,372000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33352496,10.0.0.2,8900,10.0.0.33,35249,6,-1,-1,14,334000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33563226,10.0.0.2,8900,10.0.0.33,56322,6,-1,-1,14,295000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3336746,10.0.0.2,8900,10.0.0.33,3674,6,-1,-1,14,254000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33227896,10.0.0.2,8900,10.0.0.33,22789,6,-1,-1,14,209000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33124726,10.0.0.2,8900,10.0.0.33,12472,6,-1,-1,14,155000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33644776,10.0.0.2,8900,10.0.0.33,64477,6,-1,-1,14,100000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33106356,10.0.0.2,8900,10.0.0.33,10635,6,-1,-1,14,76000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33516,10.0.0.2,8900,10.0.0.33,51,6,-1,-1,14,25000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33264436,10.0.0.2,8900,10.0.0.33,26443,6,-1,-1,13,978000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33420646,10.0.0.2,8900,10.0.0.33,42064,6,-1,-1,13,936000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3357606,10.0.0.2,8900,10.0.0.33,5760,6,-1,-1,13,895000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33226,10.0.0.2,8900,10.0.0.33,22,6,-1,-1,13,853000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33245646,10.0.0.2,8900,10.0.0.33,24564,6,-1,-1,13,811000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3396076,10.0.0.2,8900,10.0.0.33,9607,6,-1,-1,13,768000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3389726,10.0.0.2,8900,10.0.0.33,8972,6,-1,-1,13,723000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33264806,10.0.0.2,8900,10.0.0.33,26480,6,-1,-1,13,683000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33293396,10.0.0.2,8900,10.0.0.33,29339,6,-1,-1,13,620000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33124966,10.0.0.2,8900,10.0.0.33,12496,6,-1,-1,13,563000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33353546,10.0.0.2,8900,10.0.0.33,35354,6,-1,-1,13,520000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3399696,10.0.0.2,8900,10.0.0.33,9969,6,-1,-1,13,470000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33282636,10.0.0.2,8900,10.0.0.33,28263,6,-1,-1,13,430000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33158796,10.0.0.2,8900,10.0.0.33,15879,6,-1,-1,13,391000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33249796,10.0.0.2,8900,10.0.0.33,24979,6,-1,-1,13,347000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33155076,10.0.0.2,8900,10.0.0.33,15507,6,-1,-1,13,288000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33447706,10.0.0.2,8900,10.0.0.33,44770,6,-1,-1,13,236000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3385096,10.0.0.2,8900,10.0.0.33,8509,6,-1,-1,13,193000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3361276,10.0.0.2,8900,10.0.0.33,6127,6,-1,-1,13,146000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33475846,10.0.0.2,8900,10.0.0.33,47584,6,-1,-1,13,85000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33552606,10.0.0.2,8900,10.0.0.33,55260,6,-1,-1,13,37000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33285226,10.0.0.2,8900,10.0.0.33,28522,6,-1,-1,12,989000000,20,100,0,1,54,0.08333333333333333,1.0111223458038423e-09,4.5,5.460060667340748e-08
1705684951.765311,3,10.0.0.2890010.0.0.33454726,10.0.0.2,8900,10.0.0.33,45472,6,-1,-1,12,944000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33123996,10.0.0.2,8900,10.0.0.33,12399,6,-1,-1,12,905000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33276976,10.0.0.2,8900,10.0.0.33,27697,6,-1,-1,12,844000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33353216,10.0.0.2,8900,10.0.0.33,35321,6,-1,-1,12,793000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3331286,10.0.0.2,8900,10.0.0.33,3128,6,-1,-1,12,730000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3316626,10.0.0.2,8900,10.0.0.33,1662,6,-1,-1,12,664000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33329686,10.0.0.2,8900,10.0.0.33,32968,6,-1,-1,12,627000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33550796,10.0.0.2,8900,10.0.0.33,55079,6,-1,-1,12,571000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33140456,10.0.0.2,8900,10.0.0.33,14045,6,-1,-1,12,520000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33223016,10.0.0.2,8900,10.0.0.33,22301,6,-1,-1,12,478000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33373356,10.0.0.2,8900,10.0.0.33,37335,6,-1,-1,12,426000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33435866,10.0.0.2,8900,10.0.0.33,43586,6,-1,-1,12,368000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33609326,10.0.0.2,8900,10.0.0.33,60932,6,-1,-1,12,317000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33361066,10.0.0.2,8900,10.0.0.33,36106,6,-1,-1,12,273000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33112926,10.0.0.2,8900,10.0.0.33,11292,6,-1,-1,12,230000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33223926,10.0.0.2,8900,10.0.0.33,22392,6,-1,-1,12,189000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33209946,10.0.0.2,8900,10.0.0.33,20994,6,-1,-1,12,141000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33129406,10.0.0.2,8900,10.0.0.33,12940,6,-1,-1,12,92000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33587356,10.0.0.2,8900,10.0.0.33,58735,6,-1,-1,12,46000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33447716,10.0.0.2,8900,10.0.0.33,44771,6,-1,-1,11,978000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33437226,10.0.0.2,8900,10.0.0.33,43722,6,-1,-1,11,930000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33136556,10.0.0.2,8900,10.0.0.33,13655,6,-1,-1,11,881000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3391316,10.0.0.2,8900,10.0.0.33,9131,6,-1,-1,11,839000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33613936,10.0.0.2,8900,10.0.0.33,61393,6,-1,-1,11,783000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33164646,10.0.0.2,8900,10.0.0.33,16464,6,-1,-1,11,739000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33585176,10.0.0.2,8900,10.0.0.33,58517,6,-1,-1,11,699000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33559196,10.0.0.2,8900,10.0.0.33,55919,6,-1,-1,11,647000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33240936,10.0.0.2,8900,10.0.0.33,24093,6,-1,-1,11,609000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33635166,10.0.0.2,8900,10.0.0.33,63516,6,-1,-1,11,559000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3366396,10.0.0.2,8900,10.0.0.33,6639,6,-1,-1,11,513000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33231576,10.0.0.2,8900,10.0.0.33,23157,6,-1,-1,11,451000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33258906,10.0.0.2,8900,10.0.0.33,25890,6,-1,-1,11,408000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.3311676,10.0.0.2,8900,10.0.0.33,1167,6,-1,-1,11,366000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33505696,10.0.0.2,8900,10.0.0.33,50569,6,-1,-1,11,320000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33436576,10.0.0.2,8900,10.0.0.33,43657,6,-1,-1,11,273000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33288316,10.0.0.2,8900,10.0.0.33,28831,6,-1,-1,11,238000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33266696,10.0.0.2,8900,10.0.0.33,26669,6,-1,-1,11,185000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33345376,10.0.0.2,8900,10.0.0.33,34537,6,-1,-1,11,133000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33303016,10.0.0.2,8900,10.0.0.33,30301,6,-1,-1,11,68000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.338516,10.0.0.2,8900,10.0.0.33,851,6,-1,-1,10,999000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33492516,10.0.0.2,8900,10.0.0.33,49251,6,-1,-1,10,957000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33273276,10.0.0.2,8900,10.0.0.33,27327,6,-1,-1,10,922000000,20,100,0,0,0,0.0,0.0,0.0,0.0
1705684951.765311,3,10.0.0.2890010.0.0.33441446,10.0.0.2,8900,10.0.0.33,44144,6,-1,-1,10,884000000,20,100,0,0,0,0.0,0.0,0.0,0.0
